smiles,cid,rat_vi,GHS_Category
CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)[O-])cccc3C21.[Na+],23663404.0,12.8,2
CC#N,6342.0,1680.0,4
CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,3038097.0,1250.0,4
CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N.Cl,3038096.0,1250.0,4
CC(=C(CCOC(=O)C(C)C)SSC(CCOC(=O)C(C)C)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,3002120.0,110.0,3
CC(=C(CC[S+](C)[O-])SSC(CC[S+](C)[O-])=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,3038116.0,330.0,4
CC(=C1CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,71666.0,580.0,4
CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,446596.0,1310.0,4
CC(=CC(=O)OCCCCCCCCC(=O)[O-])CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O.CC(=CC(=O)OCCCCCCCCC(=O)[O-])CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O.O.O.[Ca+2],5282317.0,1310.0,4
CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O,1549120.0,0.255,1
CC(=N)N1CCC(SC2=C(C(=O)O)N3C(=O)C(C(C)O)C3C2)C1,72015.0,1300.0,4
CC(=Nc1c(I)cc(I)c(C(=O)NCC(C)C(=O)O)c1I)N1CCOCC1,68746.0,2400.0,5
CC(=Nc1c(I)cc(I)c(C(=O)NCC(C)C(=O)[O-])c1I)N1CCOCC1.[Na+],23663955.0,1100.0,4
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCC(O)CNC(C)(C)C,6435725.0,17.0,2
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCCCN(C(C)C)C(C)C,6435724.0,11.4,2
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCCCN(C)C.O=C(O)CC(O)(CC(=O)O)C(=O)O,6435734.0,13.5,2
