smiles,cid,mouse_vo,GHS_Category
Br.CN1CCC(c2ccccc2)C(COc2ccccc2)C1,3041438.0,200.0,3
Br.CN1CCC2(C)CC(Cc3ccc(O)cc32)C1,11630995.0,310.0,4
Br.CN1CCC23CCCCC2C1Cc1ccc(O)cc13,5464026.0,375.0,4
Br.CN1CCC2c3ccccc3C(c3ccccc3)C2C1,213271.0,225.0,3
Br.CN1CCC=C(C(=O)O)C1,201453.0,1000.0,4
Br.CN=C1CC(C)(C)CC2=Nc3c(ncnc3N(C)C(C)C)SC12,135959519.0,500.0,4
Br.CNC(Cc1ccccc1)Cc1ccc(O)c(O)c1,24834575.0,986.0,4
Br.CNC1CCC2(C)C(=CCC3C2CCC2(CO)C(C(C)O)CCC32)C1,207394.0,1000.0,4
Br.CNC1Cc2cc(O)c(O)cc2Sc2ccccc21,3045604.0,500.0,4
Br.CNCC1CCSc2c1c1ccccc1n2C,3056097.0,400.0,4
Br.CNCc1ccccc1Sc1ccc(O)cc1O,3080320.0,587.0,4
Br.CNNCc1ccc(C(=O)NC(N)=O)cc1,67771.0,818.0,4
Br.CNc1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,3067025.0,750.0,4
Br.CNc1ncnc2c1N=C1CC(C)(C)CC(=NC(C)C)C1S2,136160614.0,500.0,4
Br.CNc1ncnc2c1N=C1CC(C)(C)CC(=NC(C)Cc3ccccc3)C1S2,135463969.0,410.0,4
Br.CNc1ncnc2c1N=C1CC(C)(C)CC(=NCCCC(=O)O)C1S2,135624079.0,500.0,4
Br.CNc1ncnc2c1N=C1CC(C)(C)CC(=NCCc3ccc(OC)c(OC)c3)C1S2,135463971.0,290.0,3
Br.CNc1ncnc2c1N=C1CC(C)(C)CC(=NCc3ccccc3)C1S2,135463967.0,33.0,2
Br.COC(=O)C1=CCCN(C)C1,9301.0,600.0,4
Br.COC(=O)NNC(C)c1ccc(Oc2ccccc2)cc1,51532.0,240.0,3
Br.COC1=CC23CC(Cc4cc(OC)c(OC)cc42)N(CC2CC2)CC3=CC1=O,3058533.0,400.0,4
Br.COC1=CC23CC(Cc4cc(OC)c(OC)cc42)N(CCc2ccc(OC)c(OC)c2)CC3=CC1=O,3058525.0,400.0,4
Br.COC1C=CC2=CCN3CCc4cc5c(cc4C23C1)OCO5,207953.0,80.0,3
Br.COCC12CCC(OC)C34C5CC6(O)C(OC)C(O)C(O)(C5C6OC(=O)c5ccccc5)C(C(OC)C13)C4N(C)C2,78358534.0,947.0,4
Br.COCC12CCC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C13)C4N(C)C2,23622586.0,6.562,2
Br.COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(O)C1C2OC(=O)c1ccccc1,78358532.0,921.0,4
Br.COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1,51315.0,2.143,1
Br.COc1cc(CC(C)N)c(OC)cc1Br,62064.0,400.0,4
Br.COc1cc(Cc2cnc(N)nc2N)ccc1O,3078764.0,2000.0,4
Br.COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,181823.5,515.5,4
Br.COc1cc2c(cc1OC)CN(C(=N)NCCOc1ccccc1OC)CC2,37769.0,3300.0,5
Br.COc1cc2c(cc1OC)CN(Cc1ccccc1Cl)CC2,35932.0,1400.0,4
Br.COc1cc2cncc(Cc3ccc(N(C)C)cc3)c2cc1OC,52974.0,963.0,4
Br.COc1cc2cncc(Cc3ccccc3)c2cc1OC,36266.0,2300.0,5
Br.COc1ccc(CCN=C2CC(C)(C)CC3=Nc4c(OC)ncnc4SC23)cc1OC,135463975.0,295.0,3
Br.COc1ccc(Cc2cncc3cc(OC)c(OC)cc23)cc1,43568.0,2798.0,5
Br.COc1ccc(N(C)C(=O)CSc2ncc[nH]2)c(C(=O)c2ccccc2)c1,3080505.0,500.0,4
Br.COc1ccc(N(C)c2nc(NCCN(C(C)C)C(C)C)c(SC)c(OC)n2)cc1OC,3043387.0,200.0,3
