smiles,cid,rat_vo,GHS_Category
C=C(C#N)C(=O)OCC,81530.0,5.0,1
C=C(C#N)CCO,155215.0,467.0,4
C=C(C#N)OC(C)=O,18291.0,100.0,3
C=C(C)C#N,31368.0,120.0,3
C=C(C)C(=O)CC,32777.0,419.0,4
C=C(C)C(=O)NCO,70208.0,282.0,3
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,16560.0,1800.0,4
C=C(C)C(=O)Nc1ccc(O)cc1,29520.0,1110.0,4
C=C(C)C(=O)O,4093.0,1060.0,4
C=C(C)C(=O)OC.C=C(C)C(=O)OCCOC(=O)c1ccc2c(c1)C(=O)OC2=O,123788.0,2000.0,4
C=C(C)C(=O)OCC1CO1,7837.0,500.0,4
C=C(C)C(=O)OCCC1CCCCN1,29583.0,3532.0,5
C=C(C)C(=O)OCCCl,15905.0,200.0,3
C=C(C)C(=O)OCCN(C)C,17869.0,1751.0,4
C=C(C)C(=O)OCCN(CC)CC,61012.0,4696.0,5
C=C(C)C(=O)OCCN=C=O,35409.0,670.0,4
C=C(C)C(=O)OCCOC(=O)C(=C)C,7355.0,3300.0,5
C=C(C)C(=O)OCCOC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)OCCOC(=O)C(=C)C)cc2)cc1,182012.0,2000.0,4
C=C(C)C(=O)OCCOC(=O)c1ccc2c(c1)C(=O)OC2=O,51027.0,2000.0,4
C=C(C)C(=O)OCCc1ccccc1,77260.0,5000.0,5
C=C(C)C(=O)[O-].CCCC[Sn+](CCCC)CCCC,16682828.0,160.0,3
C=C(C)C(=O)[O-].CCC[Sn+](CCC)CCC,16684281.0,118.0,3
C=C(C)C(C)=O,13143.0,180.0,3
C=C(C)C(Cl)Cl.CC(=CCl)CCl.CC(CCl)CCl,6437867.0,1500.0,4
C=C(C)C(N)=O,6595.0,459.0,4
C=C(C)C(OC(C)=O)OC(C)=O,25305.0,440.0,4
C=C(C)C1C=CC(C)C(=O)C1,154577.66666666666,2330.0,5
C=C(C)C1CC=C(C)C(O)C1,7438.0,3000.0,5
C=C(C)C1CC=C(C)CC1,231614.0,4850.0,5
C=C(C)C1CC=C(C=NO)CC1,5365782.0,2500.0,5
C=C(C)C1CC=C(CO)CC1,10819.0,2100.0,5
C=C(C)C1CCC(C)(OP(=S)(OC)OC)CC1,205681.0,500.0,4
C=C(C)C1CCC(C)=C1CC(C)(C)COC(=O)CC,158410.0,5000.0,5
C=C(C)C1CCC(C)C(=O)C1,24473.0,5000.0,5
C=C(C)C1CCC(C)C(O)C1,12072.0,5000.0,5
C=C(C)C1CCC(C)C(OC(C)=O)C1,6553874.0,5000.0,5
C=C(C)C1CCC(C)CC1O,24585.0,1030.0,4
C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,259846.0,2000.0,4
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,6758.0,60.0,3
C=C(C)C=NONC(C)=O,9570723.0,150.0,3
C=C(C)C=O,6562.0,140.0,3
C=C(C)CC#N,20912.0,540.0,4
C=C(C)CCCC(C)CCOC(=O)CC,25113548.0,5000.0,5
C=C(C)CCCC(C)CCOC(=O)Cc1ccccc1,23623724.0,5000.0,5
C=C(C)CCCC(C)CCOC(C)=O,8833.0,5000.0,5
C=C(C)CCl,11241.0,848.0,4
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-].CCNc1nc(Cl)nc(NC(C)C)n1,3049476.0,3000.0,5
C=C(C)CNCC,87587.0,50.0,2
C=C(C)CNc1ccc(C(C)C(=O)O)cc1,2097.0,550.0,4
C=C(C)Cn1c(N)cc(=O)n(C)c1=O,11071.0,1560.0,4
C=C(C)OC,8300.0,1870.0,4
C=C(C)OC(C)=O,7916.0,3000.0,5
C=C(C)c1ccc(C(C)(C)N=C=O)cc1,17911.0,4400.0,5
C=C(C)c1cccc(C(=C)C)c1,77353.0,5000.0,5
C=C(C)c1cccc(C(C)(C)N=C=O)c1,604152.0,3100.0,5
C=C(C)c1ccccc1,7407.0,4900.0,5
C=C(C=CCC(O)C(O)C(O)CC=CC=CC(O)CC1OC(CC(O)C(O)CC2OC(C(O)C(O)CCC(O)C=CC(C)C(O)CC3(O)OC(CC(O)CCCCCCCC45CC(C)CC(C)(O4)C(CC(C)CCCCCC(O)C(O)C(O)C(O)C(O)C4OC(CC(O)C(O)C(C)=CC(O)CC(C)C(O)C(=O)N=CCC(=O)NCCCO)C(O)C(O)C4O)O5)C(O)C(O)C3O)CC(O)C2O)C(O)C(O)C1O)CCC(O)C(O)C(O)C(C)CC1OC(C=CC(O)C(O)CC2CC3CC(O2)C(CCC2OC(CN)CC2O)O3)C(O)C(O)C1O,11105289.0,0.04,1
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3278.0,1000.0,4
C=C(CC)CCCC(C)COC(C)=O,55896.0,5000.0,5
C=C(CCO)C(=O)OC(=O)CC(C)=O,30581.0,1300.0,4
C=C(CCl)CCl,15859.0,150.0,3
C=C(CO)C(=O)OCC,24827.0,620.0,4
C=C(Cl)C#N,70198.0,25.0,2
C=C(Cl)C(=O)Nc1ccc(OC)cc1,29979.0,82.0,3
C=C(Cl)C(=O)OC,6659.0,68.0,3
C=C(Cl)C(Cl)=C(Cl)Cl,13531.0,421.0,4
C=C(Cl)C(Cl)CCl,17073.0,341.0,4
C=C(Cl)C(OC(C)=O)OC(C)=O,79576.0,320.0,4
C=C(Cl)CCl,6565.0,320.0,4
C=C(Cl)COP(C)(=S)Oc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,69778.0,200.0,3
C=C(Cl)COP(C)(=S)Oc1ccc([N+](=O)[O-])cc1,84585.0,32.0,2
C=C(Cl)CSC(=S)N(CC)CC,7216.0,850.0,4
C=C(Cl)Cl,6366.0,200.0,3
C=C(Cl)Cl.C=CC(=O)OCCCC,165734.0,5000.0,5
C=C(Cl)c1ccc([N+](=O)[O-])cc1,82402.0,710.0,4
C=C(F)C(=O)OCC(F)(F)C(F)F,2782529.0,60.0,3
C=C(F)CCl,80320.0,280.0,3
C=C(F)CO,79757.0,130.0,3
C=C(OCC)C1C(C)(C)CC(=O)CC1(C)C,118292.0,5000.0,5
C=C(OP(=O)(OC)OC)P(=O)(OC)OC,76847.0,287.0,3
C=C(OP(=O)(OC)OC)P(=O)(OCC)OCC,3047931.0,150.0,3
C=C(OP(=O)(OC)OC)c1ccc(Cl)cc1Cl,3039062.0,2351.0,5
C=C(OP(=O)(OCC)OCC)P(=O)(OC)OC,67176.0,173.0,3
C=C(OP(=O)(OCC)OCC)c1ccc(Cl)cc1Cl,217227.0,1530.0,4
C=C(c1ccccc1OCC(O)CN(C)C)n1ccnc1,3069781.0,700.0,4
C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1.Cl,147519.0,2000.0,4
C=C.C=CCC,161478.0,4000.0,5
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,5281107.0,3.5,1
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)C)CC(O)CC1O,5283734.0,3.279,1
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,5280453.0,0.62,1
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,5282949.5,170.17,3
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(C(F)(F)F)C(F)(F)F)CC(O)CC1O,5282190.0,0.0417,1
C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,445434.0,5.0,1
C=C1C(=O)OC2CC(C)C3=CCC(=O)C3(C)C(O)C12,23205.0,125.0,3
C=C1C(=O)OC2CC1CCC1(C)OC1CCC(C)=CCCC2(C)O,6438436.0,502.0,4
C=C1C(C)(C)C2(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)C2(Cl)Cl,73983.0,40.0,2
C=C1C(C)(C)C2(Cl)C(Cl)C1(Cl)C(Cl)(Cl)C2(Cl)Cl,22833294.0,200.0,3
C=C1C(O)CC23CC1C(C)(C)C2CCC3C,119831.0,5000.0,5
C=C1C2CCC(C2)C1(C)C,6616.0,5000.0,5
C=C1C2CCC3C2C(C)(C)CCCC13C,1796220.0,5000.0,5
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,5281750.0,77.0,3
C=C1CC(=O)N(c2ccc([N+](=O)[O-])cc2)C1=O,77789.0,2500.0,5
C=C1CC(=O)O1,12661.0,560.0,4
C=C1CC(C)C2C3Cc4ccc(O)cc4C2(CCN3CC2CCC2)C1.CS(=O)(=O)O,20056969.0,750.0,4
C=C1CC1CC(N)C(=O)O,11768666.0,98.0,3
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,5280793.0,10.0,2
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCC(O)C(C)(C)O,5283748.0,10.0,2
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,5280795.0,42.0,2
C=C1CCC2CC1C2(C)C,440967.0,4700.0,5
C=C1CCC2OC2(C)CCC2C1CC2(C)C,1742210.0,5000.0,5
C=C1c2c(Cl)ccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12,54676539.0,2000.0,4
C=C1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12.Cl,54685047.0,2000.0,4
C=CBr,11641.0,500.0,4
C=CC,8252.0,5000.0,5
C=CC#CC(C)(C)O,12723.0,600.0,4
C=CC#N,7855.0,78.0,3
C=CC(=C)CCC=C(C)C,31253.0,5000.0,5
C=CC(=C)Cl,31369.0,450.0,4
C=CC(=O)N(C)C,17587.0,316.0,4
C=CC(=O)N(CC)CC,17583.0,1415.0,4
C=CC(=O)N1CN(C(=O)C=C)CN(C(=O)C=C)C1,70397.0,350.0,4
C=CC(=O)NC,14471.0,476.0,4
C=CC(=O)NC(C)(C)CC(C)=O,17888.0,1770.0,4
C=CC(=O)NC(C)C,16637.0,375.0,4
C=CC(=O)NCNC(=O)C=C,8041.0,390.0,4
C=CC(=O)NCO,13543.0,474.0,4
C=CC(=O)NCOC,77203.0,192.0,3
C=CC(=O)NCOCC(C)C,27979.0,1020.0,4
C=CC(=O)NCOCCCC,15817.0,1030.0,4
C=CC(=O)Nc1ccc(O)cc1,36830.0,930.0,4
C=CC(=O)O,6581.0,33.5,2
C=CC(=O)OC,7294.0,277.0,3
C=CC(=O)OC(C)COCC(C)OC(=O)C=C,3034434.0,4600.0,5
C=CC(=O)OC1CC2CCC1(C)C2(C)C,639970.0,4890.0,5
C=CC(=O)OCC,8821.0,800.0,4
C=CC(=O)OCC(=O)OCC,210152.0,215.0,3
C=CC(=O)OCC(C)O,61249.0,250.0,3
C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,19042.0,1830.0,4
C=CC(=O)OCC1CC2C=CC1C2,69810535.0,1410.0,4
C=CC(=O)OCC1CO1,7836.0,150.0,3
C=CC(=O)OCCC#N,7825.0,180.0,3
C=CC(=O)OCCC(=O)NC,100973.0,840.0,4
C=CC(=O)OCCC(C)OC(=O)C=C,29635.0,3540.0,5
C=CC(=O)OCCCC,8846.0,900.0,4
C=CC(=O)OCCCCCC,17259.0,26.0,2
C=CC(=O)OCCCCCC(C)C,165746.0,5000.0,5
C=CC(=O)OCCCCCCC,17257.0,4500.0,5
C=CC(=O)OCCCCCCOC(=O)C=C,25644.0,5000.0,5
C=CC(=O)OCCCCOC(=O)C=C,70613.0,587.0,4
C=CC(=O)OCCCOCC,46988.0,820.0,4
C=CC(=O)OCCC[Si](OC)(OC)OC,151204.0,1.0,1
C=CC(=O)OCCCl,16627.0,180.0,3
C=CC(=O)OCCN(C)C,17111.0,455.0,4
C=CC(=O)OCCN(CC)CC,17050.0,770.0,4
C=CC(=O)OCCO,13165.0,548.0,4
C=CC(=O)OCCOC,18392.0,400.0,4
C=CC(=O)OCCOC(=O)C=C,75282.0,300.0,3
C=CC(=O)OCCOC(=O)c1ccc(C(=O)O)cc1C(=O)O,158455.0,3190.0,5
C=CC(=O)OCCOCC,7827.0,1070.0,4
C=CC(=O)OCCOCCC#N,24627.0,1120.0,4
C=CC(=O)OCCOCCOC(=O)C=C,19996.0,250.0,3
C=CC(=O)OCCOCCOCCOC(=O)C=C,62414.0,500.0,4
